PORT NAME,GRADE NAME,MONTH REPORTING,BL DATE,VESSEL,DESTINATION,CHARTERERS,API,BSW,POUR POINT,SULPHUR,DENSITY,H2S,SALT,SEDIMENT,RVP,TAN,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,06/01/2022,MT RED NOVA,"ROTTERDAM, NETHERLANDS",CSSA,37.07,0.096,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,10/01/2022,MT ARDRONIKOS,"VISAKHAPATNAM, INDIA",SEARIVER,36.93,0.098,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,18/01/2022,MT SEA RUBY,"OMSP, INDONESIA",VITOL,37.7,0.05,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,23/01/2022,MT CSSC LIAO NING,"OMSP, SINGAPORE / THAILAND",SEARIVER,37.78,0.079,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,28/01/2022,MT PNS SERENA,"OMSP, INDONESIA",PERTAMINA,37.58,0.065,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,05/02/2022,MT SEAHERO,"OMSP, INDIA",SEARIVER,37.13,0.109,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,11/02/2022,MT SEAHERO,"OMSP, INDIA",SEARIVER,37.31,0.114,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,16/02/2022,MT AFRODITI,GIBRALTA FOR ORDERS,STENA,37.54,0.069,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,22/02/2022,MT KRITI HERO,"OMSP, ITALY",TRAFIGURA,37.09,0.091,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,28/02/2022,MT NEW PRIME,ROTTERDAM FOR ORDERS,CSSA,37.17,0.075,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,04/03/2022,MT NEW PRIME,ROTTERDAM FOR ORDERS,CSSA,37.17,0.109,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,10/03/2022,MT MARINER,"OMSP, INDONESIA",PERTAMINA,37.41,0.067,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,16/03/2022,MT APOLLONAS,"OMSP, INDIA",EXXONMOBIL,37.13,0.091,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,22/03/2022,MT DIMITRIS P,"OMSP, ITALY",HMM(EUROPE),37.5,0.087,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,28/03/2022,MT QUANTUM HARMONY,"OMSP, INDONESIA",PERTAMINA,36.81,0.116,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,29/03/2022,MT HARMONIC,ALGECIRAS,CEPSA,36.93,0.084,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,04/04/2022,MT PACIFIC M,"OMSP, INDIA",EXXONMOBIL,36.77,0.09,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,06/04/2022,MT PACIFIC M,"OMSP, INDIA",EXXONMOBIL,37.39,0.127,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,11/04/2022,MT EURONIKE,US EAST COAST,SEARIVER,37.03,0.099,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,16/04/2022,MT ASTRO CHLOE,"VISAKHAPATNAM, INDIA",BP,36.69,0.091,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,22/04/2022,MT VAIL SPIRIT,US EAST COAST,MERCURIA,37.01,0.087,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,27/04/2022,MT CRUDE LEVANTE,"POINT TUPPER, CANADA",PHILLIPS 66,36.79,0.116,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,06/05/2022,MT BIRDIE,ROTTERDAM FOR ORDERS,CSSA,36.59,0.091,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,14/05/2022,MT PACIFIC,US EAST COAST FOR ORDERS,VITOL,35.7,0.075,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,23/05/2022,MT FRONT BALDER,HUELVA-REF. LA RABIDA (HUELVA),CEPSA,35.9,0.075,,,,,,,,,,
QUA IBOE,Qua Iboe light crude oil,Jan-22,29/05/2022,MT GLORYCROWN,HUELVA-REF. LA RABIDA (HUELVA),CEPSA,36.39,0.09,,,,,,,,,,
FORCADOS,Forcados crude Oil,Jan-22,02/01/2022,MT AGIOS FANOURIOS,"NEW MANGALORE, INDIA",CSSA,33.17,0.16,,,,,,,,,,
FORCADOS,Forcados crude Oil,Jan-22,04/01/2022,MT NORDIC LUNA,"ABIDJAN, IVORY COAST",SAHARA ENERGY,34.79,0.28,,,,,,,,,,
